# index  number of sampling vertical levels i j
1147 18 104 1676
# k value
1 0.0675797
2 0.0652312
3 0.0597254
4 0.0521465
5 0.044802
6 0.0412218
9 0.0417147
20 0.0417443
30 0.0414415
40 0.0416216
50 0.0415589
55 0.0419156
60 0.0414089
61 0.0411405
62 0.0423257
63 0.0449723
64 0.0521465
65 0.0597254
# now the complete profile with fillled values
1 0.0675797
2 0.0652312
3 0.0597254
4 0.0521465
5 0.044802
6 0.0412218
7 0.0413861
8 0.0415504
9 0.0417147
10 0.0417174
11 0.0417201
12 0.0417228
13 0.0417254
14 0.0417281
15 0.0417308
16 0.0417335
17 0.0417362
18 0.0417389
19 0.0417416
20 0.0417443
21 0.041714
22 0.0416837
23 0.0416534
24 0.0416232
25 0.0415929
26 0.0415626
27 0.0415323
28 0.041502
29 0.0414717
30 0.0414415
31 0.0414595
32 0.0414775
33 0.0414955
34 0.0415135
35 0.0415315
36 0.0415495
37 0.0415676
38 0.0415856
39 0.0416036
40 0.0416216
41 0.0416153
42 0.041609
43 0.0416028
44 0.0415965
45 0.0415902
46 0.041584
47 0.0415777
48 0.0415714
49 0.0415652
50 0.0415589
51 0.0416302
52 0.0417016
53 0.0417729
54 0.0418443
55 0.0419156
56 0.0418143
57 0.0417129
58 0.0416116
59 0.0415103
60 0.0414089
61 0.0411405
62 0.0423257
63 0.0449723
64 0.0521465
65 0.0597254
