# index  number of sampling vertical levels i j
1213 18 2339 1697
# k value
1 0.0678251
2 0.0654681
3 0.0599423
4 0.0523359
5 0.0449647
6 0.0413715
9 0.0418662
20 0.0418959
30 0.041592
40 0.0417727
50 0.0417098
55 0.0420678
60 0.0415593
61 0.0412899
62 0.0424794
63 0.0451356
64 0.0523359
65 0.0599423
# now the complete profile with fillled values
1 0.0678251
2 0.0654681
3 0.0599423
4 0.0523359
5 0.0449647
6 0.0413715
7 0.0415364
8 0.0417013
9 0.0418662
10 0.0418689
11 0.0418716
12 0.0418743
13 0.041877
14 0.0418797
15 0.0418824
16 0.0418851
17 0.0418878
18 0.0418905
19 0.0418932
20 0.0418959
21 0.0418655
22 0.0418351
23 0.0418047
24 0.0417743
25 0.0417439
26 0.0417135
27 0.0416831
28 0.0416527
29 0.0416223
30 0.041592
31 0.04161
32 0.0416281
33 0.0416462
34 0.0416643
35 0.0416823
36 0.0417004
37 0.0417185
38 0.0417366
39 0.0417547
40 0.0417727
41 0.0417664
42 0.0417602
43 0.0417539
44 0.0417476
45 0.0417413
46 0.041735
47 0.0417287
48 0.0417224
49 0.0417161
50 0.0417098
51 0.0417814
52 0.041853
53 0.0419246
54 0.0419962
55 0.0420678
56 0.0419661
57 0.0418644
58 0.0417627
59 0.041661
60 0.0415593
61 0.0412899
62 0.0424794
63 0.0451356
64 0.0523359
65 0.0599423
