# index  number of sampling vertical levels i j
185 18 790 196
# k value
1 0.059809
2 0.0577306
3 0.0528578
4 0.0461505
5 0.0396505
6 0.0364819
9 0.0369181
20 0.0369443
30 0.0366763
40 0.0368357
50 0.0367802
55 0.0370959
60 0.0366475
61 0.0364099
62 0.0374588
63 0.0398012
64 0.0461505
65 0.0528578
# now the complete profile with fillled values
1 0.059809
2 0.0577306
3 0.0528578
4 0.0461505
5 0.0396505
6 0.0364819
7 0.0366273
8 0.0367727
9 0.0369181
10 0.0369205
11 0.0369229
12 0.0369253
13 0.0369276
14 0.03693
15 0.0369324
16 0.0369348
17 0.0369372
18 0.0369395
19 0.0369419
20 0.0369443
21 0.0369175
22 0.0368907
23 0.0368639
24 0.0368371
25 0.0368103
26 0.0367835
27 0.0367567
28 0.0367299
29 0.0367031
30 0.0366763
31 0.0366922
32 0.0367082
33 0.0367241
34 0.0367401
35 0.036756
36 0.036772
37 0.0367879
38 0.0368038
39 0.0368198
40 0.0368357
41 0.0368302
42 0.0368246
43 0.0368191
44 0.0368135
45 0.036808
46 0.0368024
47 0.0367969
48 0.0367913
49 0.0367858
50 0.0367802
51 0.0368434
52 0.0369065
53 0.0369696
54 0.0370328
55 0.0370959
56 0.0370062
57 0.0369166
58 0.0368269
59 0.0367372
60 0.0366475
61 0.0364099
62 0.0374588
63 0.0398012
64 0.0461505
65 0.0528578
