# index  number of sampling vertical levels i j
1299 18 2129 1821
# k value
1 0.0670003
2 0.064672
3 0.0592133
4 0.0516995
5 0.0444179
6 0.0408684
9 0.041357
20 0.0413864
30 0.0410862
40 0.0412648
50 0.0412026
55 0.0415562
60 0.0410539
61 0.0407878
62 0.0419628
63 0.0445868
64 0.0516995
65 0.0592133
# now the complete profile with fillled values
1 0.0670003
2 0.064672
3 0.0592133
4 0.0516995
5 0.0444179
6 0.0408684
7 0.0410313
8 0.0411942
9 0.041357
10 0.0413597
11 0.0413624
12 0.0413651
13 0.0413677
14 0.0413704
15 0.0413731
16 0.0413757
17 0.0413784
18 0.0413811
19 0.0413837
20 0.0413864
21 0.0413564
22 0.0413263
23 0.0412963
24 0.0412663
25 0.0412363
26 0.0412063
27 0.0411762
28 0.0411462
29 0.0411162
30 0.0410862
31 0.041104
32 0.0411219
33 0.0411397
34 0.0411576
35 0.0411755
36 0.0411933
37 0.0412112
38 0.041229
39 0.0412469
40 0.0412648
41 0.0412585
42 0.0412523
43 0.0412461
44 0.0412399
45 0.0412337
46 0.0412275
47 0.0412212
48 0.041215
49 0.0412088
50 0.0412026
51 0.0412733
52 0.041344
53 0.0414148
54 0.0414855
55 0.0415562
56 0.0414558
57 0.0413553
58 0.0412548
59 0.0411544
60 0.0410539
61 0.0407878
62 0.0419628
63 0.0445868
64 0.0516995
65 0.0592133
