# index  number of sampling vertical levels i j
633 18 1508 874
# k value
1 0.0669975
2 0.0646693
3 0.0592108
4 0.0516973
5 0.0444161
6 0.0408667
9 0.0413553
20 0.0413847
30 0.0410845
40 0.041263
50 0.0412009
55 0.0415545
60 0.0410522
61 0.0407861
62 0.0419611
63 0.0445849
64 0.0516973
65 0.0592108
# now the complete profile with fillled values
1 0.0669975
2 0.0646693
3 0.0592108
4 0.0516973
5 0.0444161
6 0.0408667
7 0.0410296
8 0.0411924
9 0.0413553
10 0.041358
11 0.0413607
12 0.0413633
13 0.041366
14 0.0413687
15 0.0413713
16 0.041374
17 0.0413767
18 0.0413793
19 0.041382
20 0.0413847
21 0.0413546
22 0.0413246
23 0.0412946
24 0.0412646
25 0.0412346
26 0.0412045
27 0.0411745
28 0.0411445
29 0.0411145
30 0.0410845
31 0.0411023
32 0.0411202
33 0.041138
34 0.0411559
35 0.0411737
36 0.0411916
37 0.0412095
38 0.0412273
39 0.0412452
40 0.041263
41 0.0412568
42 0.0412506
43 0.0412444
44 0.0412382
45 0.0412319
46 0.0412257
47 0.0412195
48 0.0412133
49 0.0412071
50 0.0412009
51 0.0412716
52 0.0413423
53 0.041413
54 0.0414838
55 0.0415545
56 0.041454
57 0.0413536
58 0.0412531
59 0.0411527
60 0.0410522
61 0.0407861
62 0.0419611
63 0.0445849
64 0.0516973
65 0.0592108
