# index  number of sampling vertical levels i j
1041 18 2759 1446
# k value
1 0.0682195
2 0.0658488
3 0.0602908
4 0.0526403
5 0.0452262
6 0.0416121
9 0.0421096
20 0.0421395
30 0.0418338
40 0.0420157
50 0.0419524
55 0.0423124
60 0.041801
61 0.04153
62 0.0427264
63 0.0453981
64 0.0526403
65 0.0602908
# now the complete profile with fillled values
1 0.0682195
2 0.0658488
3 0.0602908
4 0.0526403
5 0.0452262
6 0.0416121
7 0.0417779
8 0.0419438
9 0.0421096
10 0.0421123
11 0.0421151
12 0.0421178
13 0.0421205
14 0.0421232
15 0.0421259
16 0.0421286
17 0.0421314
18 0.0421341
19 0.0421368
20 0.0421395
21 0.0421089
22 0.0420784
23 0.0420478
24 0.0420172
25 0.0419867
26 0.0419561
27 0.0419255
28 0.041895
29 0.0418644
30 0.0418338
31 0.041852
32 0.0418702
33 0.0418884
34 0.0419066
35 0.0419247
36 0.0419429
37 0.0419611
38 0.0419793
39 0.0419975
40 0.0420157
41 0.0420093
42 0.042003
43 0.0419967
44 0.0419903
45 0.041984
46 0.0419777
47 0.0419713
48 0.041965
49 0.0419587
50 0.0419524
51 0.0420244
52 0.0420964
53 0.0421684
54 0.0422404
55 0.0423124
56 0.0422101
57 0.0421079
58 0.0420056
59 0.0419033
60 0.041801
61 0.04153
62 0.0427264
63 0.0453981
64 0.0526403
65 0.0602908
