# index  number of sampling vertical levels i j
1548 18 649 2255
# k value
1 0.0630995
2 0.0609068
3 0.0557659
4 0.0486895
5 0.0418319
6 0.038489
9 0.0389492
20 0.0389769
30 0.0386941
40 0.0388623
50 0.0388038
55 0.0391368
60 0.0386637
61 0.0384131
62 0.0395197
63 0.0419909
64 0.0486895
65 0.0557659
# now the complete profile with fillled values
1 0.0630995
2 0.0609068
3 0.0557659
4 0.0486895
5 0.0418319
6 0.038489
7 0.0386424
8 0.0387958
9 0.0389492
10 0.0389517
11 0.0389543
12 0.0389568
13 0.0389593
14 0.0389618
15 0.0389643
16 0.0389668
17 0.0389693
18 0.0389718
19 0.0389744
20 0.0389769
21 0.0389486
22 0.0389203
23 0.038892
24 0.0388638
25 0.0388355
26 0.0388072
27 0.038779
28 0.0387507
29 0.0387224
30 0.0386941
31 0.0387109
32 0.0387278
33 0.0387446
34 0.0387614
35 0.0387782
36 0.038795
37 0.0388119
38 0.0388287
39 0.0388455
40 0.0388623
41 0.0388565
42 0.0388506
43 0.0388447
44 0.0388389
45 0.038833
46 0.0388272
47 0.0388213
48 0.0388155
49 0.0388096
50 0.0388038
51 0.0388704
52 0.038937
53 0.0390036
54 0.0390702
55 0.0391368
56 0.0390422
57 0.0389476
58 0.038853
59 0.0387584
60 0.0386637
61 0.0384131
62 0.0395197
63 0.0419909
64 0.0486895
65 0.0557659
