# index  number of sampling vertical levels i j
1577 18 3485 2276
# k value
1 0.0632781
2 0.0610792
3 0.0559237
4 0.0488273
5 0.0419503
6 0.038598
9 0.0390595
20 0.0390872
30 0.0388036
40 0.0389723
50 0.0389136
55 0.0392476
60 0.0387732
61 0.0385218
62 0.0396316
63 0.0421098
64 0.0488273
65 0.0559237
# now the complete profile with fillled values
1 0.0632781
2 0.0610792
3 0.0559237
4 0.0488273
5 0.0419503
6 0.038598
7 0.0387518
8 0.0389056
9 0.0390595
10 0.039062
11 0.0390645
12 0.039067
13 0.0390696
14 0.0390721
15 0.0390746
16 0.0390771
17 0.0390796
18 0.0390822
19 0.0390847
20 0.0390872
21 0.0390588
22 0.0390305
23 0.0390021
24 0.0389738
25 0.0389454
26 0.0389171
27 0.0388887
28 0.0388604
29 0.038832
30 0.0388036
31 0.0388205
32 0.0388374
33 0.0388542
34 0.0388711
35 0.038888
36 0.0389048
37 0.0389217
38 0.0389386
39 0.0389554
40 0.0389723
41 0.0389664
42 0.0389606
43 0.0389547
44 0.0389488
45 0.038943
46 0.0389371
47 0.0389312
48 0.0389253
49 0.0389195
50 0.0389136
51 0.0389804
52 0.0390472
53 0.039114
54 0.0391808
55 0.0392476
56 0.0391527
57 0.0390578
58 0.0389629
59 0.0388681
60 0.0387732
61 0.0385218
62 0.0396316
63 0.0421098
64 0.0488273
65 0.0559237
