# index  number of sampling vertical levels i j
565 18 3526 693
# k value
1 0.0656217
2 0.0633413
3 0.0579949
4 0.0506357
5 0.043504
6 0.0400275
9 0.0405061
20 0.0405348
30 0.0402408
40 0.0404157
50 0.0403548
55 0.0407012
60 0.0402092
61 0.0399485
62 0.0410994
63 0.0436693
64 0.0506357
65 0.0579949
# now the complete profile with fillled values
1 0.0656217
2 0.0633413
3 0.0579949
4 0.0506357
5 0.043504
6 0.0400275
7 0.040187
8 0.0403466
9 0.0405061
10 0.0405087
11 0.0405113
12 0.0405139
13 0.0405165
14 0.0405191
15 0.0405218
16 0.0405244
17 0.040527
18 0.0405296
19 0.0405322
20 0.0405348
21 0.0405054
22 0.040476
23 0.0404466
24 0.0404172
25 0.0403878
26 0.0403584
27 0.040329
28 0.0402996
29 0.0402702
30 0.0402408
31 0.0402583
32 0.0402758
33 0.0402933
34 0.0403107
35 0.0403282
36 0.0403457
37 0.0403632
38 0.0403807
39 0.0403982
40 0.0404157
41 0.0404096
42 0.0404035
43 0.0403974
44 0.0403913
45 0.0403852
46 0.0403792
47 0.0403731
48 0.040367
49 0.0403609
50 0.0403548
51 0.0404241
52 0.0404933
53 0.0405626
54 0.0406319
55 0.0407012
56 0.0406028
57 0.0405044
58 0.040406
59 0.0403076
60 0.0402092
61 0.0399485
62 0.0410994
63 0.0436693
64 0.0506357
65 0.0579949
