# index  number of sampling vertical levels i j
484 18 1 539
# k value
1 0.129139
2 0.124651
3 0.11413
4 0.0996475
5 0.0856128
6 0.0787713
9 0.0797131
20 0.0797697
30 0.079191
40 0.0795352
50 0.0794154
55 0.0800971
60 0.0791289
61 0.0786159
62 0.0808807
63 0.0859382
64 0.0996475
65 0.11413
# now the complete profile with fillled values
1 0.129139
2 0.124651
3 0.11413
4 0.0996475
5 0.0856128
6 0.0787713
7 0.0790853
8 0.0793992
9 0.0797131
10 0.0797183
11 0.0797234
12 0.0797286
13 0.0797337
14 0.0797388
15 0.079744
16 0.0797491
17 0.0797543
18 0.0797594
19 0.0797646
20 0.0797697
21 0.0797118
22 0.079654
23 0.0795961
24 0.0795382
25 0.0794804
26 0.0794225
27 0.0793646
28 0.0793068
29 0.0792489
30 0.079191
31 0.0792255
32 0.0792599
33 0.0792943
34 0.0793287
35 0.0793631
36 0.0793976
37 0.079432
38 0.0794664
39 0.0795008
40 0.0795352
41 0.0795233
42 0.0795113
43 0.0794993
44 0.0794873
45 0.0794753
46 0.0794633
47 0.0794514
48 0.0794394
49 0.0794274
50 0.0794154
51 0.0795517
52 0.0796881
53 0.0798244
54 0.0799607
55 0.0800971
56 0.0799034
57 0.0797098
58 0.0795161
59 0.0793225
60 0.0791289
61 0.0786159
62 0.0808807
63 0.0859382
64 0.0996475
65 0.11413
