# index  number of sampling vertical levels i j
222 18 156 164
# k value
1 0.0605299
2 0.0584265
3 0.053495
4 0.0467068
5 0.0401284
6 0.0369217
9 0.0373631
20 0.0373896
30 0.0371184
40 0.0372797
50 0.0372236
55 0.0375431
60 0.0370893
61 0.0368488
62 0.0379104
63 0.0402809
64 0.0467068
65 0.053495
# now the complete profile with fillled values
1 0.0605299
2 0.0584265
3 0.053495
4 0.0467068
5 0.0401284
6 0.0369217
7 0.0370688
8 0.037216
9 0.0373631
10 0.0373655
11 0.0373679
12 0.0373704
13 0.0373728
14 0.0373752
15 0.0373776
16 0.03738
17 0.0373824
18 0.0373848
19 0.0373872
20 0.0373896
21 0.0373625
22 0.0373354
23 0.0373083
24 0.0372811
25 0.037254
26 0.0372269
27 0.0371998
28 0.0371727
29 0.0371455
30 0.0371184
31 0.0371345
32 0.0371507
33 0.0371668
34 0.0371829
35 0.0371991
36 0.0372152
37 0.0372313
38 0.0372475
39 0.0372636
40 0.0372797
41 0.0372741
42 0.0372685
43 0.0372629
44 0.0372573
45 0.0372517
46 0.037246
47 0.0372404
48 0.0372348
49 0.0372292
50 0.0372236
51 0.0372875
52 0.0373514
53 0.0374153
54 0.0374792
55 0.0375431
56 0.0374523
57 0.0373616
58 0.0372708
59 0.03718
60 0.0370893
61 0.0368488
62 0.0379104
63 0.0402809
64 0.0467068
65 0.053495
