# index  number of sampling vertical levels i j
168 18 3323 109
# k value
1 0.0586477
2 0.0566097
3 0.0518315
4 0.0452544
5 0.0388806
6 0.0357736
9 0.0362013
20 0.036227
30 0.0359642
40 0.0361205
50 0.0360661
55 0.0363757
60 0.035936
61 0.035703
62 0.0367315
63 0.0390284
64 0.0452544
65 0.0518315
# now the complete profile with fillled values
1 0.0586477
2 0.0566097
3 0.0518315
4 0.0452544
5 0.0388806
6 0.0357736
7 0.0359162
8 0.0360587
9 0.0362013
10 0.0362036
11 0.036206
12 0.0362083
13 0.0362106
14 0.036213
15 0.0362153
16 0.0362176
17 0.03622
18 0.0362223
19 0.0362246
20 0.036227
21 0.0362007
22 0.0361744
23 0.0361481
24 0.0361219
25 0.0360956
26 0.0360693
27 0.036043
28 0.0360167
29 0.0359905
30 0.0359642
31 0.0359798
32 0.0359955
33 0.0360111
34 0.0360267
35 0.0360424
36 0.036058
37 0.0360736
38 0.0360892
39 0.0361049
40 0.0361205
41 0.0361151
42 0.0361096
43 0.0361042
44 0.0360987
45 0.0360933
46 0.0360879
47 0.0360824
48 0.036077
49 0.0360715
50 0.0360661
51 0.036128
52 0.0361899
53 0.0362518
54 0.0363137
55 0.0363757
56 0.0362877
57 0.0361998
58 0.0361118
59 0.0360239
60 0.035936
61 0.035703
62 0.0367315
63 0.0390284
64 0.0452544
65 0.0518315
