# index  number of sampling vertical levels i j
227 18 595 237
# k value
1 0.608373
2 0.587231
3 0.537666
4 0.469439
5 0.403321
6 0.371091
9 0.375528
20 0.375795
30 0.373069
40 0.37469
50 0.374126
55 0.377337
60 0.372776
61 0.370359
62 0.381029
63 0.404854
64 0.469439
65 0.537666
# now the complete profile with fillled values
1 0.608373
2 0.587231
3 0.537666
4 0.469439
5 0.403321
6 0.371091
7 0.37257
8 0.374049
9 0.375528
10 0.375552
11 0.375577
12 0.375601
13 0.375625
14 0.375649
15 0.375674
16 0.375698
17 0.375722
18 0.375746
19 0.37577
20 0.375795
21 0.375522
22 0.375249
23 0.374977
24 0.374704
25 0.374432
26 0.374159
27 0.373886
28 0.373614
29 0.373341
30 0.373069
31 0.373231
32 0.373393
33 0.373555
34 0.373717
35 0.373879
36 0.374042
37 0.374204
38 0.374366
39 0.374528
40 0.37469
41 0.374634
42 0.374577
43 0.374521
44 0.374464
45 0.374408
46 0.374351
47 0.374295
48 0.374239
49 0.374182
50 0.374126
51 0.374768
52 0.37541
53 0.376052
54 0.376695
55 0.377337
56 0.376425
57 0.375512
58 0.3746
59 0.373688
60 0.372776
61 0.370359
62 0.381029
63 0.404854
64 0.469439
65 0.537666
