# index  number of sampling vertical levels i j
495 18 913 661
# k value
1 0.642599
2 0.620268
3 0.567914
4 0.495849
5 0.426012
6 0.391968
9 0.396655
20 0.396936
30 0.394057
40 0.39577
50 0.395173
55 0.398565
60 0.393747
61 0.391195
62 0.402465
63 0.427631
64 0.495849
65 0.567914
# now the complete profile with fillled values
1 0.642599
2 0.620268
3 0.567914
4 0.495849
5 0.426012
6 0.391968
7 0.393531
8 0.395093
9 0.396655
10 0.39668
11 0.396706
12 0.396732
13 0.396757
14 0.396783
15 0.396808
16 0.396834
17 0.39686
18 0.396885
19 0.396911
20 0.396936
21 0.396648
22 0.39636
23 0.396072
24 0.395785
25 0.395497
26 0.395209
27 0.394921
28 0.394633
29 0.394345
30 0.394057
31 0.394228
32 0.394399
33 0.394571
34 0.394742
35 0.394913
36 0.395085
37 0.395256
38 0.395427
39 0.395598
40 0.39577
41 0.39571
42 0.39565
43 0.395591
44 0.395531
45 0.395472
46 0.395412
47 0.395352
48 0.395293
49 0.395233
50 0.395173
51 0.395852
52 0.39653
53 0.397209
54 0.397887
55 0.398565
56 0.397602
57 0.396638
58 0.395675
59 0.394711
60 0.393747
61 0.391195
62 0.402465
63 0.427631
64 0.495849
65 0.567914
