# index  number of sampling vertical levels i j
1564 18 2224 2195
# k value
1 0.628589
2 0.606746
3 0.555533
4 0.485039
5 0.416724
6 0.383423
9 0.388007
20 0.388283
30 0.385466
40 0.387142
50 0.386558
55 0.389876
60 0.385163
61 0.382666
62 0.393691
63 0.418308
64 0.485039
65 0.555533
# now the complete profile with fillled values
1 0.628589
2 0.606746
3 0.555533
4 0.485039
5 0.416724
6 0.383423
7 0.384951
8 0.386479
9 0.388007
10 0.388032
11 0.388057
12 0.388082
13 0.388108
14 0.388133
15 0.388158
16 0.388183
17 0.388208
18 0.388233
19 0.388258
20 0.388283
21 0.388001
22 0.387719
23 0.387438
24 0.387156
25 0.386874
26 0.386593
27 0.386311
28 0.386029
29 0.385748
30 0.385466
31 0.385634
32 0.385801
33 0.385969
34 0.386136
35 0.386304
36 0.386471
37 0.386639
38 0.386806
39 0.386974
40 0.387142
41 0.387083
42 0.387025
43 0.386967
44 0.386908
45 0.38685
46 0.386792
47 0.386733
48 0.386675
49 0.386617
50 0.386558
51 0.387222
52 0.387885
53 0.388549
54 0.389213
55 0.389876
56 0.388934
57 0.387991
58 0.387049
59 0.386106
60 0.385163
61 0.382666
62 0.393691
63 0.418308
64 0.485039
65 0.555533
