# index  number of sampling vertical levels i j
123 18 3218 58
# k value
1 0.938211
2 0.905608
3 0.829169
4 0.723952
5 0.621988
6 0.572284
9 0.579126
20 0.579537
30 0.575333
40 0.577834
50 0.576964
55 0.581916
60 0.574882
61 0.571155
62 0.587609
63 0.624352
64 0.723952
65 0.829169
# now the complete profile with fillled values
1 0.938211
2 0.905608
3 0.829169
4 0.723952
5 0.621988
6 0.572284
7 0.574565
8 0.576846
9 0.579126
10 0.579164
11 0.579201
12 0.579239
13 0.579276
14 0.579313
15 0.579351
16 0.579388
17 0.579425
18 0.579463
19 0.5795
20 0.579537
21 0.579117
22 0.578697
23 0.578276
24 0.577856
25 0.577435
26 0.577015
27 0.576595
28 0.576174
29 0.575754
30 0.575333
31 0.575584
32 0.575834
33 0.576084
34 0.576334
35 0.576584
36 0.576834
37 0.577084
38 0.577334
39 0.577584
40 0.577834
41 0.577747
42 0.57766
43 0.577573
44 0.577486
45 0.577399
46 0.577312
47 0.577225
48 0.577138
49 0.577051
50 0.576964
51 0.577954
52 0.578944
53 0.579935
54 0.580925
55 0.581916
56 0.580509
57 0.579102
58 0.577695
59 0.576289
60 0.574882
61 0.571155
62 0.587609
63 0.624352
64 0.723952
65 0.829169
