# index  number of sampling vertical levels i j
972 18 188 1385
# k value
1 0.663877
2 0.640807
3 0.58672
4 0.512268
5 0.440119
6 0.404948
9 0.40979
20 0.41008
30 0.407106
40 0.408875
50 0.408259
55 0.411763
60 0.406786
61 0.404149
62 0.415792
63 0.441791
64 0.512268
65 0.58672
# now the complete profile with fillled values
1 0.663877
2 0.640807
3 0.58672
4 0.512268
5 0.440119
6 0.404948
7 0.406562
8 0.408176
9 0.40979
10 0.409816
11 0.409842
12 0.409869
13 0.409895
14 0.409922
15 0.409948
16 0.409975
17 0.410001
18 0.410027
19 0.410054
20 0.41008
21 0.409783
22 0.409485
23 0.409188
24 0.40889
25 0.408593
26 0.408295
27 0.407998
28 0.407701
29 0.407403
30 0.407106
31 0.407283
32 0.407459
33 0.407636
34 0.407813
35 0.40799
36 0.408167
37 0.408344
38 0.408521
39 0.408698
40 0.408875
41 0.408813
42 0.408752
43 0.40869
44 0.408629
45 0.408567
46 0.408505
47 0.408444
48 0.408382
49 0.408321
50 0.408259
51 0.40896
52 0.409661
53 0.410362
54 0.411062
55 0.411763
56 0.410768
57 0.409772
58 0.408777
59 0.407781
60 0.406786
61 0.404149
62 0.415792
63 0.441791
64 0.512268
65 0.58672
