# index  number of sampling vertical levels i j
1021 18 679 1450
# k value
1 0.668283
2 0.64506
3 0.590613
4 0.515668
5 0.443039
6 0.407635
9 0.412509
20 0.412801
30 0.409807
40 0.411588
50 0.410968
55 0.414496
60 0.409485
61 0.406831
62 0.418551
63 0.444723
64 0.515668
65 0.590613
# now the complete profile with fillled values
1 0.668283
2 0.64506
3 0.590613
4 0.515668
5 0.443039
6 0.407635
7 0.40926
8 0.410884
9 0.412509
10 0.412535
11 0.412562
12 0.412589
13 0.412615
14 0.412642
15 0.412668
16 0.412695
17 0.412722
18 0.412748
19 0.412775
20 0.412801
21 0.412502
22 0.412203
23 0.411903
24 0.411604
25 0.411304
26 0.411005
27 0.410705
28 0.410406
29 0.410106
30 0.409807
31 0.409985
32 0.410163
33 0.410341
34 0.410519
35 0.410698
36 0.410876
37 0.411054
38 0.411232
39 0.41141
40 0.411588
41 0.411526
42 0.411464
43 0.411402
44 0.41134
45 0.411278
46 0.411216
47 0.411154
48 0.411092
49 0.41103
50 0.410968
51 0.411674
52 0.412379
53 0.413085
54 0.41379
55 0.414496
56 0.413494
57 0.412491
58 0.411489
59 0.410487
60 0.409485
61 0.406831
62 0.418551
63 0.444723
64 0.515668
65 0.590613
