# index  number of sampling vertical levels i j
264 18 1 191
# k value
1 1.37293
2 1.32522
3 1.21336
4 1.05939
5 0.910185
6 0.837451
9 0.847463
20 0.848065
30 0.841913
40 0.845572
50 0.844298
55 0.851545
60 0.841252
61 0.835798
62 0.859876
63 0.913645
64 1.05939
65 1.21336
# now the complete profile with fillled values
1 1.37293
2 1.32522
3 1.21336
4 1.05939
5 0.910185
6 0.837451
7 0.840788
8 0.844126
9 0.847463
10 0.847518
11 0.847573
12 0.847627
13 0.847682
14 0.847737
15 0.847791
16 0.847846
17 0.847901
18 0.847955
19 0.84801
20 0.848065
21 0.847449
22 0.846834
23 0.846219
24 0.845604
25 0.844989
26 0.844373
27 0.843758
28 0.843143
29 0.842528
30 0.841913
31 0.842279
32 0.842645
33 0.843011
34 0.843376
35 0.843742
36 0.844108
37 0.844474
38 0.84484
39 0.845206
40 0.845572
41 0.845445
42 0.845317
43 0.84519
44 0.845063
45 0.844935
46 0.844808
47 0.84468
48 0.844553
49 0.844426
50 0.844298
51 0.845748
52 0.847197
53 0.848646
54 0.850096
55 0.851545
56 0.849486
57 0.847428
58 0.845369
59 0.84331
60 0.841252
61 0.835798
62 0.859876
63 0.913645
64 1.05939
65 1.21336
