# index  number of sampling vertical levels i j
784 18 3460 1040
# k value
1 0.661527
2 0.638539
3 0.584642
4 0.510455
5 0.43856
6 0.403514
9 0.408339
20 0.408628
30 0.405664
40 0.407427
50 0.406814
55 0.410305
60 0.405346
61 0.402718
62 0.41432
63 0.440227
64 0.510455
65 0.584642
# now the complete profile with fillled values
1 0.661527
2 0.638539
3 0.584642
4 0.510455
5 0.43856
6 0.403514
7 0.405122
8 0.40673
9 0.408339
10 0.408365
11 0.408391
12 0.408418
13 0.408444
14 0.40847
15 0.408497
16 0.408523
17 0.408549
18 0.408576
19 0.408602
20 0.408628
21 0.408332
22 0.408036
23 0.407739
24 0.407443
25 0.407146
26 0.40685
27 0.406553
28 0.406257
29 0.405961
30 0.405664
31 0.40584
32 0.406017
33 0.406193
34 0.406369
35 0.406546
36 0.406722
37 0.406898
38 0.407075
39 0.407251
40 0.407427
41 0.407366
42 0.407305
43 0.407243
44 0.407182
45 0.40712
46 0.407059
47 0.406998
48 0.406936
49 0.406875
50 0.406814
51 0.407512
52 0.40821
53 0.408909
54 0.409607
55 0.410305
56 0.409313
57 0.408321
58 0.40733
59 0.406338
60 0.405346
61 0.402718
62 0.41432
63 0.440227
64 0.510455
65 0.584642
