# index  number of sampling vertical levels i j
491 18 525 633
# k value
1 0.641395
2 0.619106
3 0.56685
4 0.49492
5 0.425214
6 0.391234
9 0.395912
20 0.396193
30 0.393319
40 0.395028
50 0.394433
55 0.397819
60 0.39301
61 0.390462
62 0.401711
63 0.42683
64 0.49492
65 0.56685
# now the complete profile with fillled values
1 0.641395
2 0.619106
3 0.56685
4 0.49492
5 0.425214
6 0.391234
7 0.392793
8 0.394353
9 0.395912
10 0.395937
11 0.395963
12 0.395988
13 0.396014
14 0.396039
15 0.396065
16 0.396091
17 0.396116
18 0.396142
19 0.396167
20 0.396193
21 0.395905
22 0.395618
23 0.39533
24 0.395043
25 0.394756
26 0.394468
27 0.394181
28 0.393893
29 0.393606
30 0.393319
31 0.39349
32 0.393661
33 0.393832
34 0.394002
35 0.394173
36 0.394344
37 0.394515
38 0.394686
39 0.394857
40 0.395028
41 0.394969
42 0.394909
43 0.39485
44 0.39479
45 0.394731
46 0.394671
47 0.394612
48 0.394552
49 0.394493
50 0.394433
51 0.39511
52 0.395787
53 0.396464
54 0.397142
55 0.397819
56 0.396857
57 0.395895
58 0.394933
59 0.393972
60 0.39301
61 0.390462
62 0.401711
63 0.42683
64 0.49492
65 0.56685
