# index  number of sampling vertical levels i j
1900 18 755 2700
# k value
1 0.997916
2 0.997917
3 0.997917
4 0.997914
5 0.997916
6 0.997919
9 0.997914
20 0.997915
30 0.997911
40 0.99792
50 0.997917
55 0.997912
60 0.997913
61 0.997915
62 0.997914
63 0.997916
64 0.997914
65 0.997917
# now the complete profile with fillled values
1 0.997916
2 0.997917
3 0.997917
4 0.997914
5 0.997916
6 0.997919
7 0.997918
8 0.997916
9 0.997914
10 0.997915
11 0.997915
12 0.997915
13 0.997915
14 0.997915
15 0.997915
16 0.997915
17 0.997915
18 0.997915
19 0.997915
20 0.997915
21 0.997914
22 0.997914
23 0.997914
24 0.997913
25 0.997913
26 0.997913
27 0.997912
28 0.997912
29 0.997912
30 0.997911
31 0.997912
32 0.997913
33 0.997914
34 0.997914
35 0.997915
36 0.997916
37 0.997917
38 0.997918
39 0.997919
40 0.99792
41 0.997919
42 0.997919
43 0.997919
44 0.997918
45 0.997918
46 0.997918
47 0.997917
48 0.997917
49 0.997917
50 0.997917
51 0.997916
52 0.997915
53 0.997914
54 0.997913
55 0.997912
56 0.997912
57 0.997912
58 0.997913
59 0.997913
60 0.997913
61 0.997915
62 0.997914
63 0.997916
64 0.997914
65 0.997917
