# index  number of sampling vertical levels i j
1895 18 324 2700
# k value
1 0.941487
2 0.941485
3 0.941482
4 0.941481
5 0.941487
6 0.94148
9 0.941487
20 0.941488
30 0.941487
40 0.941487
50 0.941488
55 0.941481
60 0.941483
61 0.94148
62 0.941483
63 0.941484
64 0.941481
65 0.941482
# now the complete profile with fillled values
1 0.941487
2 0.941485
3 0.941482
4 0.941481
5 0.941487
6 0.94148
7 0.941483
8 0.941485
9 0.941487
10 0.941487
11 0.941487
12 0.941487
13 0.941487
14 0.941487
15 0.941488
16 0.941488
17 0.941488
18 0.941488
19 0.941488
20 0.941488
21 0.941488
22 0.941488
23 0.941488
24 0.941488
25 0.941487
26 0.941487
27 0.941487
28 0.941487
29 0.941487
30 0.941487
31 0.941487
32 0.941487
33 0.941487
34 0.941487
35 0.941487
36 0.941487
37 0.941487
38 0.941487
39 0.941487
40 0.941487
41 0.941487
42 0.941487
43 0.941487
44 0.941487
45 0.941487
46 0.941487
47 0.941487
48 0.941487
49 0.941488
50 0.941488
51 0.941486
52 0.941485
53 0.941484
54 0.941483
55 0.941481
56 0.941482
57 0.941482
58 0.941482
59 0.941483
60 0.941483
61 0.94148
62 0.941483
63 0.941484
64 0.941481
65 0.941482
